494,grill,( v) 炙烤
495,barbecue,(v)(n) 烤肉
496,fry,(v) 油炸
497,salt,鹽
498,sugar,糖
499,sweet,甜美的
500,spicy,辣的
501,fruit,水果
502,vegetable,蔬菜
503,piece,一片
504,eat,(v) 吃
505,drink,(v) 喝 / (n) 飲料
506,menu,菜單
507,dish,菜餚 主菜 / 盤子
508,dessert,甜點
509,meat,肉
510,beef,牛肉
511,steak,牛排
512,pork,豬肉
513,chicken,雞肉 小雞
514,meal,一餐
515,breakfast,早餐
516,lunch,午餐
517,dinner,晚餐
518,rice,米飯
519,sushi,壽司(不可數)
520,bread,麵包
521,sandwich,三明治
522,ham,火腿
523,hamburger,漢堡
524,hot dog,熱狗
525,French fries,炸薯條
526,curry,咖哩
527,noodle,麵條
528,pasta,義大利麵 (p....)
529,spaghetti,義大利麵(直麵) (s........)
530,pizza,披薩
531,egg,蛋
532,corn,玉米
533,popcorn,爆米花
534,pumpkin,南瓜
535,potato,馬鈴薯
536,nut,堅果 / 瘋子
537,cheese,起司 乳酪
538,salad,沙拉
539,cabbage,高麗菜 包心菜
540,pepper,甜椒 / 胡椒粉
541,onion,洋蔥
542,carrot,紅蘿蔔
543,peach,桃子
544,pear,西洋梨
545,lemon,檸檬
546,orange,柳橙
547,banana,香蕉
548,melon,甜瓜
549,watermelon,西瓜
550,mango,芒果
551,tomato,蕃茄
552,papaya,木瓜
553,pineapple,鳳梨
554,guava,芭樂
555,cherry,櫻桃
556,strawberry,草莓
557,grapes,葡萄(複數)
558,jam,果醬
559,coconut,椰子
560,juice,果汁
561,milk,牛奶
562,soda,蘇打 汽水
563,cola,可樂
564,lemonade,檸檬水
565,coffee,咖啡
566,tea,茶
567,water,水
568,soup,湯
569,snack,點心 小吃
570,cake,蛋糕
571,cupcake,杯子蛋糕
572,pie,派 / 餡餅
573,yogurt,優格
574,candy,糖果
575,chocolate,巧克力
576,cookie,餅乾
577,peanut,花生
578,honey,蜂蜜 / 心愛的人
579,potato chips,洋芋片
580,ice,冰
581,ice cream,冰淇淋
582,gum,口香糖
583,omelet,蛋包 烘蛋
584,butter,奶油
585,picnic,野餐
586,fork,叉子
587,chopsticks,筷子
588,knife,刀子
589,spoon,湯匙
590,cup,杯子
591,glass,玻璃杯 玻璃(不可數)
592,straw,吸管 / 稻草
593,bowl,碗
594,plate,盤子
595,jar,罐子
596,bottle,瓶子
597,pan,平底炒鍋
598,pot,湯鍋
599,refrigerator,冰箱
600,stove,爐子
601,oven,烤箱
602,lunchbox,餐盒 便當
603,hungry,飢餓的
604,thirsty,口渴的
605,yummy,好吃的
606,delicious,美味的
607,school,學校
608,respect,(v)(n) 尊敬
609,library,圖書館
610,playground,操場 / 運動場
611,ground,地面
612,bag,包包 袋子
613,pencil,鉛筆
614,pencil sharpener,削鉛筆機
615,sharp,尖銳的
616,notebook,筆記本
617,workbook,習作本
618,textbook,教科書
619,homework,家庭作業
620,tape,膠帶
621,paper,紙
622,marker,麥克筆
623,mark,(v) 做記號
624,ruler,尺
625,rule,(n) 規則 (v) 統治
626,eraser,橡皮擦
627,ink,墨汁 墨水
628,scissors,剪刀
629,glue,膠水
630,glue stick,口紅膠
631,string,線 / 弦
632,chalk,粉筆
633,blackboard,黑板
634,dictionary,字典
635,calculator,計算機
636,stapler,訂書機
637,bookshelf,書櫃
638,magazine,雜誌
639,folder,檔案夾
640,poster,海報
641,paint brush,畫筆
642,backpack,背包
643,computer,電腦
644,Internet,網際網路
645,cheat,(v) 作弊 欺騙
646,pass,(v)(n) 通過 / 及格
647,grade,年級 (v) 打分數
648,score,(v)(n) 分數 得分
649,quiz,小考
650,test,(v)(n) 考試
651,mistake,錯誤
652,secret,秘密
653,prize,獎品
654,list,表 名單 清單 (v) 列舉
655,question,問題
656,No problem!,沒問題
657,idea,主意
658,introduce,(v) 介紹
659,introduction,(n) 介紹
660,bell,鈴鐺
661,class,班級 課程 階級
662,classroom,教室
663,classmate,同班同學
664,lesson,(n) 課程 / (n) 教訓
665,review,(v)(n) 複習
666,clay,黏土
667,metal,金屬
668,stone,石頭
669,vocabulary,字彙 (集合名詞 不可數)
670,word,字
671,alphabet,字母 (集合名詞 不可數)
672,letter,個別字母 / 信
673,sentence,句子
674,for example,舉例來說
675,email,電子郵件
676,page,頁
677,story,故事 層(指大樓)
678,picture,圖片 / 照片
679,subject,科目 主題
680,math,數學
681,science,自然科學
682,English,英語
683,language,語言
684,music,音樂
685,art,美術
686,PE,體育課
687,social studies,社會課
688,social,社會的
689,group,群 / 組
690,team,隊
691,color,顏色
692,colorful,鮮豔的 多采多姿
693,plain,樸素的 素色的 原味的
694,blue,(adj) 藍色的
695,white,(adj) 白色的
696,brown,(adj) 棕色的
697,pink,(adj) 粉紅色的
698,red,(adj) 紅色的
699,black,(adj) 黑色的
700,orange,(adj) 橘色的
701,purple,(adj) 紫色的
702,green,(adj) 綠色的
703,yellow,(adj) 黃色的
704,gray,(adj) 灰色的
705,shape,形狀
706,circle,(n) 圓形
707,round,(adj) 圓的
708,square,(n) (adj) 正方形
709,heart,(n) 心型 / 心臟
710,triangle,(n) 三角形
711,rectangle,(n) 長方形
712,diamond,(n) 菱形 / 鑽石
713,oval,(n) 橢圓形
714,star,(n) 星形
715,location,位置 地點
716,local,(adj) 本地的
717,place,地方
718,entrance,入口
719,enter,(v) 進入
720,exit,出口 / 逃生門
721,leave,(v) 離開
722,address,地址 / (v) 演 講
723,live,(v) 住
724,life,(n) 生活 / 人生
725,stay,(v) 停留
726,igloo,冰屋
727,cave,洞穴
728,restaurant,餐廳 餐館
729,hotel,旅館
730,market,市場
731,supermarket,超級市場
732,museum,博物館
733,touch,(v) 碰觸
734,store,商店
735,bookstore,書店
736,department store,百貨公司
737,shop,商店
738,hospital,醫院
739,clinic,診所
740,park,公園 /(v) 停放(車)
741,zoo,動物園
742,bank,銀行
743,bakery,麵包店
744,pharmacy,藥局
745,beach,沙灘
746,aquarium,水族館
747,office,辦公室
748,officer,職員 / 官員
749,post office,郵局
750,hair salon,髮廊 美容院
751,swimming pool,(n) 游泳池
752,movie theater,電影院
753,station,車站
754,restroom,廁所
755,building,大樓 建築物
756,floor,地板 / 樓層
757,stairs,樓梯
758,upstairs,樓上
759,downstairs,樓下
760,bridge,橋
761,stand,攤位
762,street,街道
763,road,路
764,wall,牆壁
765,house,房子
766,home,家
767,garden,花園
768,room,房間
769,bedroom,臥室
770,bathroom,浴室
771,toilet,廁所
772,take a bath,(v) 洗澡
773,shower,(n) 淋浴
774,living room,客廳
775,dining room,餐廳(家裡)
776,kitchen,廚房
777,desk,書桌
778,chair,椅子
779,table,桌子
780,window,窗戶
781,door,門
782,sofa,沙發
783,telephone,電話
784,cell phone,手機
785,television,電視
786,video,錄影帶
787,radio,收音機
788,sink,水槽 (v) 下沉
789,soap,肥皂
790,mirror,鏡子
791,bathtub,浴缸
792,clean,(v) 清潔 / (adj) 乾淨的
793,tidy,(v) 整理 / (adj) 整齊的
794,toothbrush,牙刷
795,brush,(v)(n) 刷
796,comb,(n) 梳子 (v) 梳理
797,fan,電扇 扇子 粉絲
798,battery,電池
799,key,鑰匙
800,lamp,檯燈
801,light,燈光
802,lighter,打火機
803,garbage,垃圾
804,trash,垃圾
805,housework,家事
806,activity,活動
807,habit,習慣
808,hobby,嗜好
809,interest,興趣
810,dream,(v)(n) 夢
811,wish,祝福 / 希望
812,enjoy,(v) 享受
813,like,喜歡
814,interested,感到有興趣的
815,interesting,有趣的
816,fun,樂趣
817,game,遊戲 / 比賽
818,fly a kite,放風箏
819,ball,球
820,puzzle,拼圖
821,doll,洋娃娃
822,birthday,生日
823,drum,小鼓
824,band,樂團
825,gun,槍
826,robot,機器人
827,toy,玩具
828,violin,小提琴
829,piano,鋼琴
830,tennis,網球
831,table tennis,桌球
832,soccer,足球
833,football,橄欖球
834,basketball,籃球
835,baseball,棒球
836,volleyball,排球
837,golf,高爾夫球
838,bowling,保齡球
839,newspaper,報紙
840,news,新聞
841,shopping,購物
842,camera,照相機
843,photograph,照片
844,sculpture,雕塑
845,painting,畫作
846,skateboard,滑板
847,board,木板
848,ski,(v) 滑雪
849,model,模型 模範 模特兒
850,magic,魔術 變魔術
851,comic,漫畫
852,cards,撲克牌
853,card,卡片
854,gift,禮物
855,present,禮物 / 現在
856,future,未來
857,past,過去
858,exercise,(v)(n) 運動 / 練習
859,sport,運動
860,plan,計畫
861,draw,(v) 畫圖
862,spell,(v) 拼字
863,fix,(v) 修理
864,make,(v) 製造 做 使
865,collect,(v) 收集
866,stamp,郵票 印章 踏腳
867,pack,(v) 整理打包
868,throw,(v) 丟出球
869,climb,(v) 爬
870,swim,(v) 游泳
871,sleep,(v) 睡覺
872,hit,(v) 打擊
873,run,(v) 跑步
874,hike,(v) 健行 / 遠足
875,dive,(v) 跳水
876,surf,衝浪
877,dance,跳舞
878,act,(v) 演出
879,play,(n) 戲劇
880,camp,(v)(n) 露營
881,build,(v) 建造
882,hunt,打獵
883,hunter,獵人
884,tent,帳篷
885,flashlight,手電筒
886,break,(n)(v) 休息
887,knit,(v) 編織
888,surprise,(n) 驚喜 驚訝 震驚
889,money,錢
890,dollar,元
891,spend,花費 (s....)
892,cost,花費 (c...)
893,parade,遊行
894,show,(v)(n) 表演 展示
895,movie,電影
896,party,派對
897,line,排隊
898,line,線條  行列
899,ticket,車票 門票
900,marble,彈珠
901,net,網子
902,race,賽跑
903,winner,贏家
904,loser,失敗者
905,world,世界
906,sun,太陽
907,moon,月亮
908,Earth,地球
909,star,星星
910,sky,天空
911,space,外太空 / 空間
912,center,中心
913,map,地圖
914,Asia,亞洲
915,Africa,非洲
916,Australia,澳洲
917,America,美洲
918,American,美國人
919,Europe,歐洲
920,Antarctica,南極洲
921,country,國家
922,China,中國
923,Chinese,中文
924,Taiwan,台灣
925,Japan,日本
926,Korea,韓國
927,Brazil,巴西
928,Canada,加拿大
929,Egypt,埃及
930,Turkey,土耳其
931,Italy,義大利
932,direction,方向
933,east,東
934,west,西
935,south,南
936,north,北
937,air,空氣
938,nature,大自然
939,land,陸地
940,hill,小山丘
941,mountain,山
942,desert,沙漠
943,lake,湖
944,pond,池塘
945,ocean,海洋
946,sea,海
947,island,島嶼
948,river,河流
949,woods,樹林
950,forest,森林
951,rainforest,雨林
952,jungle,叢林
953,grass,草
954,puddle,水坑
955,rock,岩石 搖滾樂
956,sand,沙
957,weather,天氣
958,sunny,晴朗的
959,cloudy,多雲的 陰天的
960,cloud,雲
961,windy,刮風的
962,wind,風
963,rainy,下雨的
964,rain,雨
965,snowy,下雪的
966,snow,雪
967,stormy,暴風雨的
968,storm,暴風雨
969,typhoon,颱風
970,warm,溫暖的
971,hot,熱的
972,cool,涼爽的；酷帥的
973,cold,冷的
974,wet,濕的
975,dry,乾的
976,plant,植物
977,flower,花
978,tree,樹
979,leaf,樹葉
980,seed,種子
981,root,根
982,fire,火
983,season,季節
984,spring,春
985,summer,夏
986,fall,秋
